Accession	Description	Coverage.in.Percent	Number.of.Peptides	Number.of.PSMs	Number.of.Unique.Peptides	log2FC_t3	log2FC_t6	log2FC_t12	log2FC_t24	log2FC_t48	Abundance.Ratio.3..0	Abundance.Ratio.6..0	Abundance.Ratio.12..0	Abundance.Ratio.24..0	Abundance.Ratio.48..0	Abundance.Ratio.log2.3..0	Abundance.Ratio.log2.6..0	Abundance.Ratio.log2.12..0	Abundance.Ratio.log2.24..0	Abundance.Ratio.log2.48..0	Abundance.Ratio.P.Value.3..0	Abundance.Ratio.P.Value.6..0	Abundance.Ratio.P.Value.12..0	Abundance.Ratio.P.Value.24..0	Abundance.Ratio.P.Value.48..0	Abundance.Ratio.Adj.P.Value.3..0	Abundance.Ratio.Adj.P.Value.6..0	Abundance.Ratio.Adj.P.Value.12..0	Abundance.Ratio.Adj.P.Value.24..0	Abundance.Ratio.Adj.P.Value.48..0	Abundance.Ratio.Variability.in.Percent.3..0	Abundance.Ratio.Variability.in.Percent.6..0	Abundance.Ratio.Variability.in.Percent.12..0	Abundance.Ratio.Variability.in.Percent.24..0	Abundance.Ratio.Variability.in.Percent.48..0	Biological.Process	Cellular.Component	Molecular.Function	Pfam.IDs	Entrez.Gene.ID	Ensembl.Gene.ID	Gene.Symbol	Chromosome	KEGG.Pathways	Reactome.Pathways	WikiPathways	Number.of.Protein.Pathway.Groups	Number.of.AAs	MW.in.kDa	calc.pI	Score.Sequest.HT.Sequest.HT	Modifications
P27448	MAP/microtubule affinity-regulating kinase 3|MARK3	18	10	28	6	0.004321606	-0.001443417	-0.052894948	-0.543719518	-0.386468347	1.003	0.999	0.964	0.686	0.765	0	0	-0.05	-0.54	-0.39	0.946862167	0.980251881	0.699014961	0.008377924	0.240166471	0.999610717	0.999999448	0.970662855	0.195824897	0.495089669	14.69	9.5	7.07	7.41	15.47							MARK3					0	753	84.4	9.57	78.3	
O95297	Myelin protein zero-like protein 1|MPZL1	18	4	15	4	-0.020340448	-0.090802937	-0.128156351	-0.434402824	-0.687334826	0.986	0.939	0.915	0.74	0.621	-0.02	-0.09	-0.13	-0.43	-0.69	0.410668155	0.000997251	0.014881407	0.000458345	0.03514424	0.910937563	0.316571755	0.321094193	0.129711934	0.185252943	3.64	0.1	1.68	0.78	20.1	cell communication;regulation of biological process;response to stimulus	cell surface;membrane	protein binding;structural molecule activity	Pf07686	9019	ENSG00000197965.11	MPZL1	1	Cell adhesion molecules (CAMs)			1	269	29.1	8.72	62.41	
O14944	Proepiregulin|EREG	10	2	11	2	-0.106249498	-0.265344567	-0.332789088	-0.595096878	-0.477944251	0.929	0.832	0.794	0.662	0.718	-0.11	-0.26	-0.33	-0.59	-0.48	0.649606533	0.039663388	0.058350983	0.024310508	0.021723385	0.941487482	0.561465265	0.395982799	0.185391983	0.162382824	4.76	2.78	8.56	7.74	5.82	cell communication;cell differentiation;cell organization and biogenesis;cell proliferation;development;metabolic process;regulation of biological process;response to stimulus	extracellular;membrane	catalytic activity;protein binding		2069	ENSG00000124882.3	EREG	4	ErbB signaling pathway	"Downregulation of ERBB2 signaling; SHC1 events in ERBB2 signaling; PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling; PI3K events in ERBB4 signaling; SHC1 events in ERBB4 signaling; ERBB2 Regulates Cell Motility; ERBB2 Activates PTK6 Signaling; Nuclear signaling by ERBB4; GRB2 events in ERBB2 signaling; PI3K events in ERBB2 signaling; Constitutive Signaling by Aberrant PI3K in Cancer; RAF/MAP kinase cascade; Interleukin-20 family signaling"	ErbB Signaling Pathway	32	169	19	7.53	35.43	
Q8IYM9	E3 ubiquitin-protein ligase TRIM22|TRIM22	2	1	2	1	-0.45600928	-0.321928095	0.964213778	1.798257933	1.614945367	0.729	0.8	1.951	3.478	3.063	-0.46	-0.32	0.96	1.8	1.61	0.245503284	0.047102947	0.145367759	0.020248184	0.098179298	0.999610717	0.658571831	0.584394117	0.212749765	0.313595316	19.92	1.97	19.57	1.61	18.13	cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;nucleus;ribosome	catalytic activity;metal ion binding;protein binding;structural molecule activity	Pf00380	10346	ENSG00000132274.15	TRIM22	11		Interferon gamma signaling		4	498	56.9	7.72	7.72	
Q9HCU9	Breast cancer metastasis-suppressor 1|BRMS1	8	2	5	2	-0.210896782	0.305678743	0.265436896	1.472487771	1.966799585	0.864	1.236	1.202	2.775	3.909	-0.21	0.31	0.27	1.47	1.97	0.006073278	0.165107325	0.37200281	0.015483144	0.001191454	0.847038972	0.654958985	0.660747298	0.169092296	0.129491316	2.18	21.17	1.15	17.26	7.3	cell death;cell organization and biogenesis;metabolic process;regulation of biological process	cytoplasm;nucleus	catalytic activity;protein binding	Pf08598	25855	ENSG00000174744.13	BRMS1	11		HDACs deacetylate histones		3	246	28.4	4.74	11.86	
P0DTD2	ORF9b protein|9b	96	11	449	11	0.007195501	0.066261442	2.421963816	2.9053509	3.02467428	1.005	1.047	5.359	7.492	8.138	0.01	0.07	2.42	2.91	3.02	0.613691559	0.011322226	0.00673571	0.00437557	0.004256134	0.927390658	0.519068032	0.302593431	0.135880473	0.130333768	2.71	0.69	27.05	23.61	31.57							9b					0	97	10.8	7.25	1345.52	
Q99661	Kinesin-like protein KIF2C|KIF2C	26	15	52	13	-0.067938829	-0.179514657	-0.274040765	-0.533242384	-0.490050854	0.954	0.883	0.827	0.691	0.712	-0.07	-0.18	-0.27	-0.53	-0.49	0.175104732	0.008552208	0.040112086	0.020303171	0.025689788	0.910937563	0.503281771	0.373330757	0.177011596	0.17009438	3.94	0.55	3.31	10.89	6.05	cell division;cell organization and biogenesis;cell proliferation;cellular component movement;regulation of biological process;transport	chromosome;cytoplasm;cytoskeleton;cytosol;membrane;nucleus	catalytic activity;DNA binding;motor activity;nucleotide binding;protein binding	Pf00225	11004	ENSG00000142945.12	KIF2C	1		COPI-dependent Golgi-to-ER retrograde traffic; Kinesins; Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal; Separation of Sister Chromatids; Resolution of Sister Chromatid Cohesion; RHO GTPases Activate Formins; MHC class II antigen presentation	Regulation of Microtubule Cytoskeleton	28	725	81.3	7.83	190.71	
Q9UBS8	E3 ubiquitin-protein ligase RNF14|RNF14	5	2	3	2	-0.055891201	-0.077041036	0.021479727	-0.671163536	-0.323732592	0.962	0.948	1.015	0.628	0.799	-0.06	-0.08	0.02	-0.67	-0.32	0.946183997	0.41851611	0.885358589	0.03697368	0.399958983	0.999610717	0.911401052	0.999888808	0.247121482	0.657423375	32.05	7.39	19.94	5.62	26.65	metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;nucleus	catalytic activity;metal ion binding;protein binding	"Pf00097, Pf01485, Pf05773, Pf13639"	9604	ENSG00000013561.17	RNF14	5		Antigen processing: Ubiquitination & Proteasome degradation	Androgen receptor signaling pathway	5	474	53.8	4.75	10.5	
P01833	Polymeric immunoglobulin receptor|PIGR	7	4	18	4	-0.058893689	0.078609835	-0.40354186	-0.696657606	-0.836501268	0.96	1.056	0.756	0.617	0.56	-0.06	0.08	-0.4	-0.7	-0.84	0.04056455	0.273350351	0.017205378	0.023509438	0.018872105	0.910937563	0.724516417	0.324754288	0.182819299	0.159887701	1.41	1.54	2.6	2.23	0.51	cell organization and biogenesis;regulation of biological process;response to stimulus;transport	extracellular;membrane	receptor activity;signal transducer activity		5284	ENSG00000162896.5	PIGR	1	Intestinal immune network for IgA production	Neutrophil degranulation		4	764	83.2	5.74	69.55	
Q9Y5U4	Insulin-induced gene 2 protein|INSIG2	5	1	6	1	-0.087733372	-0.10159814	-0.152003093	-0.592919225	-0.77349147	0.941	0.932	0.9	0.663	0.585	-0.09	-0.1	-0.15	-0.59	-0.77	0.0966489	0.192082435	0.066496147	0.059845947	0.026517483	0.910937563	0.669285438	0.417125729	0.239803466	0.171439498	3.7	8.24	1.97	16.32	15.2	metabolic process;regulation of biological process;response to stimulus	endoplasmic reticulum;membrane	protein binding	"Pf07281, Pf09535"	51141	ENSG00000125629.14	INSIG2	2		Regulation of cholesterol biosynthesis by SREBP (SREBF)	Sterol Regulatory Element-Binding Proteins (SREBP) signalling	5	225	24.8	7.96	22.67	Met-loss [N-Term]
O43663	Protein regulator of cytokinesis 1|PRC1	9	7	19	7	-0.077041036	-0.244685096	-0.401634795	-0.586405918	-0.696657606	0.948	0.844	0.757	0.666	0.617	-0.08	-0.24	-0.4	-0.59	-0.7	0.213354087	0.031051435	0.008069987	0.008639684	0.005560713	0.910937563	0.561465265	0.302593431	0.160658718	0.138329398	0.52	3.85	5.26	1.53	8.58	cell division;cell organization and biogenesis;regulation of biological process	cytoplasm;cytoskeleton;cytosol;membrane;nucleus	protein binding	Pf03999	9055	ENSG00000198901.13	PRC1	15		RHO GTPases activate CIT		4	620	71.6	6.68	72.34	
P0DTC3	ORF3a protein|3a	26	5	165	5	-0.020340448	0.011495639	1.612588407	2.363171077	2.815165514	0.986	1.008	3.058	5.145	7.038	-0.02	0.01	1.61	2.36	2.82	0.512254178	0.308519572	0.001166285	0.009268966	0.00052715	0.915256953	0.744146434	0.250999451	0.160825506	0.118470301	4.54	0.21	9.25	5.82	2.88							3a					0	275	31.1	5.92	611.1	
Q68D10	Protein SPT2 homolog|SPTY2D1	12	9	37	9	-0.052894948	-0.015957574	-0.10159814	-0.246395464	-0.504304837	0.964	0.989	0.932	0.843	0.705	-0.05	-0.02	-0.1	-0.25	-0.5	0.298245432	0.470704863	0.100145369	0.140315129	0.054049738	0.910937563	0.804807965	0.461926237	0.338724396	0.213827506	4.95	4.18	3.18	2.19	16.66	cell organization and biogenesis;metabolic process;regulation of biological process	nucleus	DNA binding;protein binding	Pf08243	144108	ENSG00000179119.14	SPTY2D1	11				0	685	75.6	9.79	90.41	
P63173	60S ribosomal protein L38|RPL38	53	7	78	7	-0.067938829	-0.03948829	0.007195501	-0.104697379	-0.452056689	0.954	0.973	1.005	0.93	0.731	-0.07	-0.04	0.01	-0.1	-0.45	0.380753699	0.937009203	0.56416524	0.044473675	0.009115379	0.910937563	0.979193913	0.778469012	0.219071733	0.146787628	3.63	1.11	3.18	0.76	4.49	cell organization and biogenesis;metabolic process;regulation of biological process;transport	cytosol;ribosome	RNA binding;structural molecule activity	Pf01781	6169	ENSG00000172809.12	RPL38	17	Ribosome	Peptide chain elongation; Eukaryotic Translation Termination; Viral mRNA Translation; L13a-mediated translational silencing of Ceruloplasmin expression; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Selenocysteine synthesis; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane	Mesodermal Commitment Pathway; Cytoplasmic Ribosomal Proteins	35	70	8.2	10.1	268.83	
P0DTC6	ORF6 protein|6	31	2	19	2	-0.369594529	-0.19759996	0.540027269	1.528571319	1.115033243	0.774	0.872	1.454	2.885	2.166	-0.37	-0.2	0.54	1.53	1.11	0.113429519	0.397470645	0.135259494	0.042999277	0.031422919	0.910937563	0.776169973	0.489159966	0.217178444	0.178887716	21.39	29.46	33.02	21.4	16.66							6					0	61	7.3	4.72	45.77	
O00767	Acyl-CoA desaturase|SCD	28	7	36	7	0.041242982	0.094911647	0.025737561	-0.720231578	-0.948975997	1.029	1.068	1.018	0.607	0.518	0.04	0.1	0.03	-0.72	-0.95	0.153241302	0.096597923	0.796835963	0.021569934	0.0108061	0.910937563	0.610623177	0.903755596	0.180847929	0.149547898	2.25	0.22	1.28	9.59	17.34	metabolic process;regulation of biological process	endoplasmic reticulum;membrane	catalytic activity;metal ion binding	Pf00487	6319	ENSG00000099194.5	SCD	10	PPAR signaling pathway; AMPK signaling pathway; Biosynthesis of unsaturated fatty acids; Fatty acid metabolism	Fatty acyl-CoA biosynthesis; Activation of gene expression by SREBF (SREBP)	Sterol Regulatory Element-Binding Proteins (SREBP) signalling; SREBF and miR33 in cholesterol and lipid homeostasis; Adipogenesis; Liver X Receptor Pathway; Fatty Acid Biosynthesis; Angiopoietin Like Protein 8 Regulatory Pathway; PPAR signaling pathway	18	359	41.5	9	126.39	Met-loss [N-Term]
Q96N64	PWWP domain-containing protein 2A|PWWP2A	4	4	9	4	0.007195501	-0.438307279	-0.270555993	-0.467932448	-0.545824107	1.005	0.738	0.829	0.723	0.685	0.01	-0.44	-0.27	-0.47	-0.55	0.485372069	0.046986944	0.20994581	0.112215828	0.02938405	0.912939739	0.568820756	0.55060812	0.305852163	0.174392263	7.36	15	17.67	27.17	6.58		nucleus	protein binding	Pf00855	114825	ENSG00000170234.12	PWWP2A	5				0	755	81.9	9	20.71	
P14209	CD99 antigen|CD99	13	2	15	2	-0.189351252	-0.291592017	-0.118726939	-0.318325858	-0.612637459	0.877	0.817	0.921	0.802	0.654	-0.19	-0.29	-0.12	-0.32	-0.61	0.179004105	0.12664462	0.003721222	0.018072818	0.018457922	0.910937563	0.622425306	0.283507505	0.170973644	0.159887701	10.38	2.36	0.49	0.55	10.8	regulation of biological process	cytoplasm;membrane	protein binding	Pf12301	4267	ENSG00000002586.18	CD99	X|Y; X	Cell adhesion molecules (CAMs); Leukocyte transendothelial migration	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell; Cell surface interactions at the vascular wall		7	185	18.8	4.75	55.54	
Q9GZU8	PSME3-interacting protein|PSME3IP1	44	11	61	11	-0.042456799	0.028569152	-0.01887801	-0.254977851	-0.473931188	0.971	1.02	0.987	0.838	0.72	-0.04	0.03	-0.02	-0.25	-0.47	0.025621851	0.233676844	0.055353635	0.079004419	0.031581755	0.910937563	0.697247773	0.391448852	0.264304012	0.178887716	0.26	0.29	0.7	10.28	6.31		nucleus	protein binding	Pf10187	80011	ENSG00000172775.16	PSME3IP1	16				0	254	28.9	5.45	228.89	
Q9UNX3	60S ribosomal protein L26-like 1|RPL26L1	40	9	124	1	-0.005782353	-0.042456799	-0.10780329	-0.261880711	-0.510457064	0.996	0.971	0.928	0.834	0.702	-0.01	-0.04	-0.11	-0.26	-0.51	0.448389184	0.533327057	0.102931398	0.088110072	0.034049743	0.910937563	0.833770397	0.462392732	0.2776158	0.184448775	1.44	10.66	2.95	10.99	11.08	metabolic process	ribosome	RNA binding;structural molecule activity	Pf00467	51121	ENSG00000037241.7	RPL26L1	5	Ribosome	Peptide chain elongation; Eukaryotic Translation Termination; Viral mRNA Translation; L13a-mediated translational silencing of Ceruloplasmin expression; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Selenocysteine synthesis; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane		33	145	17.2	10.55	361.83	
Q9BT23	LIM domain-containing protein 2|LIMD2	13	2	10	1	-0.064917477	-0.272297327	-0.205896101	-0.595096878	-0.625934282	0.956	0.828	0.867	0.662	0.648	-0.07	-0.27	-0.21	-0.59	-0.63	0.161462627	0.267556102	0.058624047	0.003170278	0.052989569	0.910937563	0.722161344	0.396893136	0.133724772	0.213076985	2.3	16.72	9	0.82	24.49		cytoplasm;nucleus	metal ion binding;protein binding	Pf00412	80774	ENSG00000136490.8	LIMD2	17				0	127	14.1	9.03	18.01	
P35527	"Keratin, type I cytoskeletal 9|KRT9"	41	19	143	18	0.128293401	0.591679417	0.075874867	0.620117165	0.720716243	1.093	1.507	1.054	1.537	1.648	0.13	0.59	0.08	0.62	0.72	0.294977749	0.024139136	0.293965545	0.047097877	0.00546667	0.910937563	0.561465265	0.613483974	0.221884275	0.138329398	6.23	12.69	8.73	18.09	1.93	cell death;cell organization and biogenesis	cytosol;membrane;nucleus	structural molecule activity	"Pf00038, Pf13166"	3857	ENSG00000171403.9	KRT9	17		Formation of the cornified envelope		3	623	62	5.24	505.07	
P50897	Palmitoyl-protein thioesterase 1|PPT1	8	3	24	3	-0.048412205	-0.046921047	-0.070966521	-0.321928095	-0.49410907	0.967	0.968	0.952	0.8	0.71	-0.05	-0.05	-0.07	-0.32	-0.49	0.280908145	0.974195004	0.036796111	0.032039498	0.027919947	0.910937563	0.992602377	0.37235602	0.197868898	0.173424177	0.45	0.08	0.52	3.09	10.47	cell communication;cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport	cytosol;extracellular;Golgi;membrane;nucleus;organelle lumen;vacuole	catalytic activity;protein binding	Pf02089	5538	ENSG00000131238.16	PPT1	1	Lysosome; Fatty acid elongation; Metabolic pathways; Fatty acid metabolism	Fatty acyl-CoA biosynthesis		8	306	34.2	6.52	103.97	
Q58WW2	DDB1- and CUL4-associated factor 6|DCAF6	6	4	8	4	-0.18606493	-0.49410907	-0.104697379	-0.274040765	-0.473931188	0.879	0.71	0.93	0.827	0.72	-0.19	-0.49	-0.1	-0.27	-0.47	0.354236755	0.307322416	0.460420395	0.164812915	0.051834737	0.910937563	0.743966984	0.717665389	0.36678441	0.212165965	24.02	49.01	19.33	12.56	2.74	metabolic process;regulation of biological process	cytosol;nucleus	protein binding	Pf00400	55827	ENSG00000143164.15	DCAF6	1		Neddylation		3	860	96.2	5.27	13.49	
Q9NYZ1	Golgi apparatus membrane protein TVP23 homolog B|TVP23B	12	4	12	4	-0.253257284	-0.371459681	-0.612637459	-0.336427665	-0.504304837	0.839	0.773	0.654	0.792	0.705	-0.25	-0.37	-0.61	-0.34	-0.5	0.428931824	0.211174657	0.096429763	0.190235651	0.027778574	0.910937563	0.683858093	0.45882617	0.391431945	0.173424177	12.02	21.7	8.38	24.64	11.86	transport	membrane		Pf05832	51030	ENSG00000171928.13	TVP23B	17				0	205	23.6	8.35	27.69	
Q9NVW2	E3 ubiquitin-protein ligase RLIM|RLIM	8	4	9	4	-0.010134377	-0.080087911	-0.813499442	-0.595096878	-0.798366139	0.993	0.946	0.569	0.662	0.575	-0.01	-0.08	-0.81	-0.59	-0.8	0.522543628	0.87222524	0.066531234	0.016089452	0.018026965	0.915256953	0.960417853	0.417125729	0.169092296	0.159699343	8.03	2.21	6.87	12	13.26	metabolic process;regulation of biological process	cytosol;nucleus	catalytic activity;metal ion binding;protein binding	"Pf00097, Pf12678, Pf12861, Pf12906, Pf13639, Pf13923, Pf14634"	51132	ENSG00000131263.12	RLIM	X		Antigen processing: Ubiquitination & Proteasome degradation		4	624	68.5	7.56	11	
P05067	Amyloid-beta precursor protein|APP	21	14	42	14	0.039840265	0.002882509	-0.2968993	-0.57132159	-0.694321257	1.028	1.002	0.814	0.673	0.618	0.04	0	-0.3	-0.57	-0.69	0.158247404	0.836423816	0.00797655	8.18E-05	0.005406766	0.910937563	0.948278906	0.302593431	0.079744382	0.138329398	2.12	1.29	4.19	0.1	0.89	cell communication;cell death;cell growth;cell organization and biogenesis;cellular component movement;cellular homeostasis;defense response;metabolic process;regulation of biological process;response to stimulus;transport	cell surface;cytoplasm;cytosol;endoplasmic reticulum;endosome;extracellular;Golgi;membrane;organelle lumen;vacuole	DNA binding;enzyme regulator activity;metal ion binding;protein binding	"Pf00014, Pf02177, Pf03494, Pf03938, Pf10515, Pf11740, Pf12924, Pf12925, Pf13868, Pf15463"	351	ENSG00000142192.20	APP	21	Serotonergic synapse; Alzheimer's disease	Post-translational protein phosphorylation; TRAF6 mediated NF-kB activation; G alpha (i) signalling events; TAK1 activates NFkB by phosphorylation and activation of IKKs complex; RIP-mediated NFkB activation via ZBP1; Activated TLR4 signalling; Interleukin-1 family signaling; The NLRP3 inflammasome; Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Amyloid fiber formation; Advanced glycosylation endproduct receptor signaling; Formyl peptide receptors bind formyl peptides and many other ligands; Lysosome Vesicle Biogenesis; Platelet degranulation ; ECM proteoglycans; Gastrin-CREB signalling pathway via PKC and MAPK; DEx/H-box helicases activate type I IFN and inflammatory cytokines production	Alzheimers Disease; Endoderm Differentiation; Apoptosis-related network due to altered Notch3 in ovarian cancer; Copper homeostasis; TGF-beta Signaling Pathway	69	770	86.9	4.82	143.3	
Q08174	Protocadherin-1|PCDH1	4	3	8	3	0.041242982	-0.036525876	-0.293358943	-0.444183845	-0.590744853	1.029	0.975	0.816	0.735	0.664	0.04	-0.04	-0.29	-0.44	-0.59	0.306865096	0.263833994	0.025230083	0.068403507	0.015511709	0.910937563	0.717538049	0.344666729	0.251841263	0.155539156	4.16	4.09	5.27	16.69	9.38	cell communication	membrane;nucleus	metal ion binding	"Pf00028, Pf08266, Pf08374"	5097	ENSG00000156453.13	PCDH1	5				0	1060	114.7	5.03	37.4	
Q8WWK9	Cytoskeleton-associated protein 2|CKAP2	12	7	22	7	-0.084670324	-0.066427362	-0.249822294	-0.384583703	-0.586405918	0.943	0.955	0.841	0.766	0.666	-0.08	-0.07	-0.25	-0.38	-0.59	0.39834425	0.236355614	0.171118735	0.065053503	0.002374819	0.910937563	0.699620016	0.519475181	0.249577542	0.129491316	13.63	0.86	15.52	10.42	2.87	cell death;regulation of biological process	cytoplasm;cytoskeleton;cytosol		"Pf08542, Pf15297"	26586	ENSG00000136108.14	CKAP2	13				0	683	76.9	9.41	99.66	
P02786	Transferrin receptor protein 1|TFRC	35	23	174	23	-0.023269779	0.088141597	-0.209227962	-0.336427665	-0.518701058	0.984	1.063	0.865	0.792	0.698	-0.02	0.09	-0.21	-0.34	-0.52	0.174445088	0.102994923	0.020724054	0.052083899	0.013528234	0.910937563	0.622027674	0.330732137	0.231601089	0.152142948	0.95	2.15	2.15	11.08	8.14	cell differentiation;cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport	cell surface;endosome;extracellular;membrane	protein binding;receptor activity;RNA binding;transporter activity	"Pf02225, Pf04253, Pf04389"	7037	ENSG00000072274.12	TFRC	3	Endocytosis; HIF-1 signaling pathway; Hematopoietic cell lineage; Phagosome	Cargo recognition for clathrin-mediated endocytosis; Transferrin endocytosis and recycling; Golgi Associated Vesicle Biogenesis	Iron metabolism in placenta	15	760	84.8	6.61	653.84	
Q96EI5	Transcription elongation factor A protein-like 4|TCEAL4	45	9	53	9	-0.09696173	-0.030619235	-0.007231569	-0.295128036	-0.49410907	0.935	0.979	0.995	0.815	0.71	-0.1	-0.03	-0.01	-0.3	-0.49	0.305120238	0.839419368	0.367056456	0.039422596	0.009349046	0.910937563	0.949226651	0.65768598	0.210524033	0.146787628	4.3	0.46	0.72	6.92	6.25	metabolic process;regulation of biological process	nucleus	protein binding	Pf04538	79921	ENSG00000133142.17	TCEAL4	X				0	215	24.6	5.2	182.2	
P31350	Ribonucleoside-diphosphate reductase subunit M2|RRM2	27	9	62	9	-0.142417045	-0.13289427	-0.316528107	-0.436353731	-0.698997744	0.906	0.912	0.803	0.739	0.616	-0.14	-0.13	-0.32	-0.44	-0.7	0.033341756	0.03403373	0.004566358	0.016017442	0.004169829	0.910937563	0.561465265	0.295533633	0.169092296	0.129491316	3.53	1.73	0.53	0.1	6.38	metabolic process;regulation of biological process	cytoplasm;cytosol	catalytic activity;metal ion binding;protein binding	Pf00268	6241	ENSG00000171848.13	RRM2	2	Glutathione metabolism; Purine metabolism; p53 signaling pathway; Metabolic pathways; Pyrimidine metabolism	Activation of E2F1 target genes at G1/S; Interconversion of nucleotide di- and triphosphates; Transcriptional Regulation by E2F6	Fluoropyrimidine Activity; Retinoblastoma (RB) in Cancer; Hepatitis C and Hepatocellular Carcinoma; Nucleotide Metabolism	22	389	44.8	5.38	218.11	
P60602	Reactive oxygen species modulator 1|ROMO1	33	2	14	2	-0.042456799	-0.038006323	-0.298672743	-0.98279071	-1.055891201	0.971	0.974	0.813	0.506	0.481	-0.04	-0.04	-0.3	-0.98	-1.06	0.959539605	0.897207964	0.033045918	0.001516509	0.022659121	0.992659685	0.968346553	0.364082931	0.129711934	0.162656051	5.01	6.93	6.37	1.04	22.96	defense response;regulation of biological process;response to stimulus	membrane;mitochondrion		Pf10247	140823	ENSG00000125995.15	ROMO1	20				0	79	8.2	9.33	67.88	Met-loss [N-Term]
P17275	Transcription factor jun-B|JUNB	15	3	5	3	0.125651102	0.09895848	-0.103146927	-0.236163541	-0.588573754	1.091	1.071	0.931	0.849	0.665	0.13	0.1	-0.1	-0.24	-0.59	0.065478619	0.253055944	0.085362435	0.24467308	0.012164955	0.910937563	0.710757297	0.446417902	0.443039915	0.151769767	3.3	2.87	2.21	11.24	0.86	cell differentiation;cell proliferation;metabolic process;regulation of biological process;response to stimulus	chromosome;nucleus	DNA binding;protein binding	"Pf00170, Pf03131, Pf03957, Pf07716"	3726	ENSG00000171223.5	JUNB	19	TNF signaling pathway; Osteoclast differentiation	Interleukin-4 and 13 signaling; SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	Corticotropin-releasing hormone signaling pathway; Oncostatin M Signaling Pathway; Aryl Hydrocarbon Receptor Pathway; Kit receptor signaling pathway; IL-6 signaling pathway; TGF-beta Signaling Pathway; Oxidative Stress	21	347	35.9	9.22	22.41	
Q16626	Male-enhanced antigen 1|MEA1	16	2	13	2	-0.036525876	0.082702589	0.028569152	-0.380821784	-0.529072743	0.975	1.059	1.02	0.768	0.693	-0.04	0.08	0.03	-0.38	-0.53	0.106781585	0.005527089	0.835327791	0.077466286	0.01589459	0.910937563	0.48932813	0.925191509	0.26276819	0.155539156	0.31	1.05	2.42	16.54	6.16	cell differentiation;development	cytoplasm	protein binding	Pf06910	4201	ENSG00000124733.3	MEA1	6				0	185	19.9	4.22	50.19	
P98179	RNA-binding protein 3|RBM3	30	6	53	6	0.062121712	0.173767068	0.089498151	-0.399730246	-0.76121314	1.044	1.128	1.064	0.758	0.59	0.06	0.17	0.09	-0.4	-0.76	0.138858423	0.094270957	0.045115162	0.034675461	0.027249195	0.910937563	0.610623177	0.38193733	0.202894615	0.172046296	0.41	6.79	3.43	12.15	15.03	metabolic process;regulation of biological process	cytoplasm;nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	5935	ENSG00000102317.17	RBM3	X				0	157	17.2	8.91	111.26	
Q15398	Disks large-associated protein 5|DLGAP5	14	11	32	11	-0.054392297	-0.182786076	-0.300448367	-0.64385619	-0.736965594	0.963	0.881	0.812	0.64	0.6	-0.05	-0.18	-0.3	-0.64	-0.74	0.346056673	0.108622633	0.031168701	0.010583306	0.039016638	0.910937563	0.622425306	0.357626425	0.164402784	0.190684164	2.89	1.22	2.52	10.41	6.58	cell organization and biogenesis;cell proliferation;cellular component movement;metabolic process;regulation of biological process	cytoplasm;cytoskeleton;cytosol;mitochondrion;nucleus	catalytic activity;protein binding	Pf03359	9787	ENSG00000126787.12	DLGAP5	14				0	846	95.1	9	108.47	
Q9C0D3	Protein zyg-11 homolog B|ZYG11B	4	2	10	2	-0.219269964	0.283329168	0.079975377	0.532067552	0.432959407	0.859	1.217	1.057	1.446	1.35	-0.22	0.28	0.08	0.53	0.43	0.44468744	0.018773294	0.334888496	0.013680293	0.200444799	0.910937563	0.552941243	0.640600505	0.16631743	0.385247757	14.39	1.78	9.25	3.46	9.46	metabolic process;regulation of biological process		catalytic activity;protein binding	Pf12799	79699	ENSG00000162378.12	ZYG11B	1				0	744	83.9	6.86	25.75	
