Protein.Accessions	gene_id	gene_version	gene_name	gene_biotype	gene_source	location	baseMean_3h	log2FoldChange_3h	lfcSE_3h	pvalue_3h	padj_3h	significant_3h	rank_log2_fold_change_3h	rank_base_mean_3h	rank_padj_3h	max_rank_3h	baseMean_6h	log2FoldChange_6h	lfcSE_6h	pvalue_6h	padj_6h	significant_6h	rank_log2_fold_change_6h	rank_base_mean_6h	rank_padj_6h	max_rank_6h	baseMean_12h	log2FoldChange_12h	lfcSE_12h	pvalue_12h	padj_12h	significant_12h	rank_log2_fold_change_12h	rank_base_mean_12h	rank_padj_12h	max_rank_12h	baseMean_24h	log2FoldChange_24h	lfcSE_24h	pvalue_24h	padj_24h	significant_24h	rank_log2_fold_change_24h	rank_base_mean_24h	rank_padj_24h	max_rank_24h	baseMean_48h	log2FoldChange_48h	lfcSE_48h	pvalue_48h	padj_48h	significant_48h	rank_log2_fold_change_48h	rank_base_mean_48h	rank_padj_48h	max_rank_48h
Q13705	ENSG00000114739	14	ACVR2B	protein_coding	ensembl_havana	chr3:38453890-38493142:+	97.6989944	-1.737124148	0.123306538	1.00E-47	4.06E-46	yes	240	10045	568	10045	97.6989944	-1.289965972	0.113838622	4.58E-31	9.81E-30	yes	1039	10045	1776	10045	97.6989944	-0.704108912	0.103122294	1.45E-12	9.85E-12	yes	3404	10045	3637	10045	97.6989944	-0.01049029	0.18008113	0.952136446	0.963530673	no	34445	10045	21673	34445	97.6989944	0.679411119	0.136089083	3.96E-07	1.55E-06	yes	8082	10045	6119	10045
Q6TFL4	ENSG00000114796	16	KLHL24	protein_coding	ensembl_havana	chr3:183635610-183684519:+	460.4500583	-1.783568281	0.080810786	1.41E-110	2.66E-108	yes	224	4446	144	4446	460.4500583	-2.588169019	0.088823234	1.28E-189	6.85E-187	yes	87	4446	88	4446	460.4500583	-1.389846698	0.078616016	1.96E-71	2.59E-69	yes	671	4446	416	4446	460.4500583	-1.150812514	0.126972157	2.97E-20	3.94E-19	yes	2902	4446	2504	4446	460.4500583	0.949038732	0.082257416	3.85E-31	8.55E-30	yes	4935	4446	2105	4935
Q4KWH8	ENSG00000114805	17	PLCH1	protein_coding	ensembl_havana	chr3:155375580-155745067:-	294.9243776	-0.893498256	0.096119376	1.04E-21	1.77E-20	yes	1450	6139	1543	6139	294.9243776	-2.175659859	0.121506244	8.80E-75	7.82E-73	yes	175	6139	527	6139	294.9243776	-0.539551624	0.092183348	1.84E-09	1.53E-08	yes	5392	6139	4620	6139	294.9243776	1.719298453	0.108465569	3.48E-58	1.39E-56	yes	1061	6139	911	6139	294.9243776	2.155325269	0.095670066	2.04E-114	1.66E-112	yes	603	6139	430	6139
Q9H334	ENSG00000114861	22	FOXP1	protein_coding	ensembl_havana	chr3:70952817-71583989:-	260.933383	-1.34114355	0.092846933	1.61E-49	7.35E-48	yes	488	6616	543	6616	260.933383	-1.0113871	0.088538176	2.86E-31	7.48E-30	yes	2029	6616	1770	6616	260.933383	-0.16663022	0.077390071	0.028596908	0.06502752	yes	15643	6616	11489	15643	260.933383	1.176401414	0.1105688	4.30E-27	7.87E-26	yes	2777	6616	1945	6616	260.933383	1.914966451	0.088247189	6.03E-106	4.78E-104	yes	830	6616	482	6616
P01583	ENSG00000115008	6	IL1A	protein_coding	ensembl_havana	chr2:112773925-112784493:-	181.7823456	2.636688519	0.219086714	6.40E-35	1.77E-33	yes	59	7993	875	7993	181.7823456	2.831775883	0.220975093	4.32E-40	1.09E-38	yes	63	7993	1284	7993	181.7823456	2.497155998	0.224651391	1.14E-31	3.48E-30	yes	75	7993	1398	7993	181.7823456	5.42037839	0.226480875	5.62E-128	5.30E-126	yes	44	7993	338	7993	181.7823456	5.421446816	0.221709877	4.74E-133	3.57E-131	yes	41	7993	345	7993
P78556	ENSG00000115009	13	CCL20	protein_coding	ensembl_havana	chr2:227805739-227817564:+	62.24263408	0.711838637	0.231900614	0.000193028	0.000523511	yes	2348	11205	6415	11205	62.24263408	0.990125599	0.230020911	1.45E-06	6.03E-06	yes	2122	11205	6455	11205	62.24263408	0.024503609	0.22451993	0.899503938	0.802921873	no	24755	11205	19939	24755	62.24263408	3.416312112	0.261950673	7.12E-42	1.23E-40	yes	187	11205	1268	11205	62.24263408	3.768849175	0.239595731	2.56E-58	4.29E-57	yes	145	11205	1073	11205
Q658P3	ENSG00000115107	20	STEAP3	protein_coding	ensembl_havana	chr2:119223831-119265652:+	422.2239198	0.039158843	0.062275895	0.520349997	0.943294798	no	21785	4783	19721	21785	422.2239198	0.61021658	0.061264597	7.42E-24	1.22E-22	yes	5322	4783	2331	5322	422.2239198	1.570957038	0.058507702	2.97E-160	1.23E-157	yes	470	4783	98	4783	422.2239198	0.378482765	0.107229156	0.000360691	0.001491042	yes	12940	4783	7386	12940	422.2239198	-0.389418529	0.117452662	0.000798599	0.003479785	yes	13349	4783	8769	13349
Q99726	ENSG00000115194	11	SLC30A3	protein_coding	ensembl_havana	chr2:27253684-27275817:-	5.00088385	-0.173626166	0.370215793	0.383578818	0.428925099	no	13085	16867	15000	16867	5.00088385	-0.503282017	0.510965154	0.087787596	0.079844942	yes	6936	16867	12230	16867	5.00088385	-0.33007961	0.444686431	0.195924883	0.17843722	no	9856	16867	13475	16867	5.00088385	1.285905878	0.643184703	0.003361998	0.006999334	yes	2298	16867	8312	16867	5.00088385	1.46373096	0.595747236	0.000875389	0.001723616	yes	1825	16867	8398	16867
P39210	ENSG00000115204	15	MPV17	protein_coding	ensembl_havana	chr2:27309492-27325680:-	216.7885244	-0.27016742	0.063774228	1.38E-05	6.74E-05	yes	9345	7321	5641	9345	216.7885244	-0.333222949	0.06503343	2.16E-07	1.65E-06	yes	10729	7321	6108	10729	216.7885244	-0.353333459	0.065023257	3.78E-08	2.64E-07	yes	9259	7321	5173	9259	216.7885244	-1.322789758	0.17166707	1.70E-15	1.75E-14	yes	2146	7321	3101	7321	216.7885244	-1.811898537	0.17549758	2.25E-26	3.36E-25	yes	991	7321	2424	7321
Q96HR9	ENSG00000115255	11	REEP6	protein_coding	ensembl_havana	chr19:1491166-1497927:+	130.370973	-0.280687174	0.084222082	0.000495816	0.001399878	yes	9006	9119	6903	9119	130.370973	-0.554203981	0.088186073	1.29E-10	8.87E-10	yes	6060	9119	4711	9119	130.370973	-0.770608202	0.090762737	2.33E-18	2.22E-17	yes	2868	9119	2604	9119	130.370973	-1.598682849	0.239049642	9.43E-13	4.98E-12	yes	1286	9119	3547	9119	130.370973	-1.468866835	0.196624062	9.99E-15	6.59E-14	yes	1806	9119	3842	9119
Q6UW60	ENSG00000115257	15	PCSK4	protein_coding	ensembl_havana	chr19:1481428-1490752:-	8.442344311	-0.589452394	0.279212819	0.004809996	0.008460919	yes	3458	15561	8098	15561	8.442344311	-1.050290229	0.312520825	5.18E-05	0.000113958	yes	1833	15561	7400	15561	8.442344311	-1.945533482	0.385681079	2.43E-09	6.49E-09	yes	204	15561	4494	15561	8.442344311	-0.655577442	0.53778878	0.098321979	0.125091442	no	7690	15561	11653	15561	8.442344311	-1.219763363	0.696780144	0.007626534	0.013022306	yes	2922	15561	9684	15561
Q9BYX4	ENSG00000115267	8	IFIH1	protein_coding	ensembl_havana	chr2:162267074-162318684:-	2022.686213	0.033846383	0.108665096	0.739371651	1	no	22350	845	19881	22350	2022.686213	-0.439177899	0.115630099	7.99E-05	0.000549775	yes	8161	845	8059	8161	2022.686213	-0.193252546	0.11304655	0.076457463	0.301241885	no	14482	845	15071	15071	2022.686213	4.173600319	0.114900168	3.29E-291	2.10E-288	yes	107	845	107	845	2022.686213	3.41428607	0.116044568	3.79E-194	1.13E-191	yes	186	845	177	845
O75251	ENSG00000115286	20	NDUFS7	protein_coding	ensembl_havana	chr19:1383527-1395589:+	173.7287281	-0.198392032	0.086162361	0.016084457	0.041122351	yes	12010	8138	9662	12010	173.7287281	-0.047820269	0.086329887	0.569211018	0.751934419	no	22554	8138	19797	22554	173.7287281	-0.145447125	0.087174296	0.08841893	0.237510171	no	16584	8138	14302	16584	173.7287281	-1.479478269	0.217309595	6.85E-13	6.38E-12	yes	1609	8138	3560	8138	173.7287281	-1.666359579	0.200598768	6.59E-18	5.16E-17	yes	1273	8138	3325	8138
P58215	ENSG00000115318	12	LOXL3	protein_coding	ensembl_havana	chr2:74532258-74555690:-	39.11277297	0.188363898	0.201994398	0.249982754	0.348871335	no	12414	12259	14180	14180	39.11277297	1.191875619	0.219152079	2.77E-09	8.86E-09	yes	1319	12259	5060	12259	39.11277297	1.628278566	0.214929721	7.32E-16	4.41E-15	yes	415	12259	2965	12259	39.11277297	2.079494115	0.300552865	2.66E-14	1.41E-13	yes	660	12259	3255	12259	39.11277297	1.419293951	0.297198572	2.34E-07	7.07E-07	yes	1983	12259	5947	12259
P42224	ENSG00000115415	20	STAT1	protein_coding	ensembl_havana	chr2:190908460-191020960:-	5781.320489	0.158327668	0.065635933	0.013334314	0.036061305	yes	13805	180	9506	13805	5781.320489	-0.012988102	0.065919304	0.840848582	1	no	28072	180	20364	28072	5781.320489	0.168771965	0.066243593	0.009916474	0.05253717	yes	15544	180	11208	15544	5781.320489	2.698432967	0.067897946	0	0	yes	330	180	1	330	5781.320489	2.417469507	0.067705051	5.15E-282	3.53E-279	yes	433	180	77	433
Q9BWT3	ENSG00000115421	13	PAPOLG	protein_coding	ensembl_havana	chr2:60756253-60802086:+	265.2703462	0.244746097	0.073449805	0.000570071	0.002107153	yes	10201	6561	7134	10201	265.2703462	0.091808063	0.075710188	0.214310044	0.537332681	no	19843	6561	18213	19843	265.2703462	-0.191516673	0.078178165	0.01271787	0.04455149	yes	14558	6561	10980	14558	265.2703462	1.310156582	0.11013002	1.75E-33	3.90E-32	yes	2186	6561	1602	6561	265.2703462	1.65123345	0.093800966	1.75E-70	7.20E-69	yes	1300	6561	853	6561
O43529	ENSG00000115526	11	CHST10	protein_coding	ensembl_havana	chr2:100391860-100417668:-	156.1141648	1.015172089	0.098479529	2.63E-26	5.13E-25	yes	1066	8498	1242	8498	156.1141648	1.612484204	0.095759806	2.30E-65	1.12E-63	yes	515	8498	665	8498	156.1141648	1.470615759	0.096453772	5.77E-54	3.83E-52	yes	577	8498	643	8498	156.1141648	0.57448282	0.182625208	0.001166619	0.004624982	yes	8978	8498	8037	8978	156.1141648	0.314933662	0.175654592	0.065911226	0.172800049	no	15148	8498	13312	15148
Q13478	ENSG00000115604	10	IL18R1	protein_coding	ensembl_havana	chr2:102311529-102398775:+	26.18920311	-0.082921848	0.211147475	0.621259561	0.684851004	no	18227	13116	17816	18227	26.18920311	0.053076285	0.226765783	0.788660365	0.636468442	no	22166	13116	19144	22166	26.18920311	0.360937308	0.223106325	0.061303283	0.095942877	yes	9051	13116	12165	13116	26.18920311	1.532798161	0.338738806	3.06E-07	1.03E-06	yes	1456	13116	5161	13116	26.18920311	1.857541851	0.295273082	9.24E-12	3.26E-11	yes	916	13116	4442	13116
Q9BV36	ENSG00000115648	14	MLPH	protein_coding	ensembl_havana	chr2:237485428-237555322:+	164.0950773	-0.927932006	0.074108984	3.72E-37	1.00E-35	yes	1334	8353	805	8353	164.0950773	-1.068233892	0.076622043	2.81E-45	6.71E-44	yes	1769	8353	1096	8353	164.0950773	-0.950779222	0.075630766	1.18E-37	3.37E-36	yes	1839	8353	1108	8353	164.0950773	-1.624808137	0.207911944	2.07E-16	2.23E-15	yes	1227	8353	2965	8353	164.0950773	-0.312715217	0.119692605	0.008207776	0.029888186	yes	15194	8353	10493	15194
Q15435	ENSG00000115685	15	PPP1R7	protein_coding	ensembl_havana	chr2:241149576-241183652:+	393.1137886	0.111905248	0.054101104	0.035376091	0.092668793	yes	16334	5060	10861	16334	393.1137886	0.164695182	0.054826077	0.002387925	0.011050318	yes	16384	5060	9868	16384	393.1137886	-0.039108903	0.055437006	0.476845451	0.713538623	no	22891	5060	19557	22891	393.1137886	-1.030573114	0.128729713	3.85E-16	4.26E-15	yes	3672	5060	3000	5060	393.1137886	-1.93207151	0.150067626	1.63E-39	3.46E-38	yes	816	5060	1655	5060
P11926	ENSG00000115758	13	ODC1	protein_coding	ensembl_havana	chr2:10439968-10448327:-	1865.353585	0.701150251	0.048001702	3.26E-49	1.55E-47	yes	2429	941	546	2429	1865.353585	1.489212266	0.047065082	3.12E-221	2.88E-218	yes	667	941	60	941	1865.353585	1.904934025	0.046671109	0	0	yes	227	941	1	941	1865.353585	1.437665478	0.060349798	1.74E-126	3.55E-124	yes	1734	941	342	1734	1865.353585	1.311563258	0.057781829	9.53E-115	1.17E-112	yes	2449	941	429	2449
O75746	ENSG00000115840	14	SLC25A12	protein_coding	ensembl_havana	chr2:171783405-171999859:-	225.8185987	-0.385039592	0.092004261	1.03E-05	4.63E-05	yes	6341	7162	5503	7162	225.8185987	-0.084185705	0.088472396	0.327420915	0.764959989	no	20230	7162	19846	20230	225.8185987	0.757204978	0.083129452	1.03E-20	1.14E-19	yes	2983	7162	2313	7162	225.8185987	1.642609004	0.117653395	9.57E-46	2.07E-44	yes	1197	7162	1167	7162	225.8185987	1.703328534	0.106578644	1.08E-58	3.67E-57	yes	1197	7162	1071	7162
Q07687	ENSG00000115844	11	DLX2	protein_coding	ensembl_havana	chr2:172099438-172102900:-	6.073909252	0.85183244	0.86057013	0.003501028	0.006330788	yes	1605	16375	7877	16375	6.073909252	0.37572768	0.596230918	0.149359261	0.156870429	no	9609	16375	13575	16375	6.073909252	0.334875838	0.566252213	0.14759759	0.147732567	no	9728	16375	13025	16375	6.073909252	1.313892689	1.064423198	0.006256076	0.010743889	yes	2168	16375	8633	16375	6.073909252	5.093620716	1.154969284	3.38E-08	8.34E-08	yes	56	16375	5564	16375
Q16629	ENSG00000115875	19	SRSF7	protein_coding	ensembl_havana	chr2:38743599-38751494:-	965.7229966	0.716008266	0.08333329	1.01E-18	1.13E-17	yes	2319	2147	1853	2319	965.7229966	1.31883678	0.082758773	1.75E-58	9.82E-57	yes	971	2147	770	2147	965.7229966	0.269528347	0.082868093	0.000913079	0.004886087	yes	11688	2147	8805	11688	965.7229966	1.45433095	0.093610196	1.62E-55	1.16E-53	yes	1682	2147	953	2147	965.7229966	0.323858579	0.100116405	0.001108734	0.00602189	yes	14908	2147	9117	14908
P18827	ENSG00000115884	11	SDC1	protein_coding	ensembl_havana	chr2:20200797-20225433:-	1633.571366	-0.336935633	0.066894626	2.16E-07	1.25E-06	yes	7402	1121	4474	7402	1633.571366	-0.498423799	0.067346051	6.39E-14	5.34E-13	yes	7006	1121	3790	7006	1633.571366	0.246113422	0.066294537	0.000171079	0.001321982	yes	12476	1121	7960	12476	1633.571366	-0.950120773	0.085484817	4.25E-29	1.47E-27	yes	4324	1121	1836	4324	1633.571366	-1.495270406	0.087132914	6.42E-67	5.75E-65	yes	1716	1121	926	1716
Q9NRX1	ENSG00000115946	8	PNO1	protein_coding	ensembl_havana	chr2:68157888-68176238:+	395.0355654	1.263379124	0.060281505	1.47E-99	3.13E-97	yes	582	5034	168	5034	395.0355654	1.671983754	0.059265415	5.86E-177	2.78E-174	yes	460	5034	103	5034	395.0355654	0.829375143	0.062208	1.17E-41	5.02E-40	yes	2459	5034	959	5034	395.0355654	0.428711351	0.117467244	0.000218501	0.001008341	yes	11794	5034	7189	11794	395.0355654	-0.132163237	0.121969371	0.272760428	0.569578821	no	20809	5034	18297	20809
P61587	ENSG00000115963	13	RND3	protein_coding	ensembl_havana	chr2:150468195-150539011:-	1983.875964	0.511659809	0.036899105	2.02E-44	8.27E-43	yes	4302	872	628	4302	1983.875964	0.639389947	0.036814504	4.26E-68	2.15E-66	yes	4960	872	622	4960	1983.875964	0.214483158	0.037619519	1.04E-08	1.24E-07	yes	13634	872	5009	13634	1983.875964	1.937971938	0.044842127	0	0	yes	785	872	1	872	1983.875964	1.439008907	0.045236288	6.68E-223	2.63E-220	yes	1915	872	134	1915
Q6YHU6	ENSG00000115970	18	THADA	protein_coding	ensembl_havana	chr2:43230836-43596046:-	465.1412329	-0.206724279	0.065649803	0.001225454	0.004387138	yes	11620	4412	7578	11620	465.1412329	0.164620447	0.064748659	0.009820894	0.041170417	yes	16389	4412	11223	16389	465.1412329	0.334371353	0.063769661	1.13E-07	1.09E-06	yes	9746	4412	5497	9746	465.1412329	1.803947739	0.080249775	1.13E-113	9.38E-112	yes	949	4412	401	4412	465.1412329	0.497518101	0.094442891	1.12E-07	9.27E-07	yes	11077	4412	5999	11077
Q9NWW7	ENSG00000115998	7	C2orf42	protein_coding	ensembl_havana	chr2:70149880-70248615:-	143.6296029	0.160888148	0.104907336	0.102188358	0.197787623	no	13677	8800	12506	13677	143.6296029	-0.191563728	0.113090883	0.07792753	0.149499619	no	15277	8800	13432	15277	143.6296029	-0.286907662	0.113962795	0.00899305	0.035873481	yes	11163	8800	10680	11163	143.6296029	2.015879688	0.138694872	5.17E-50	1.54E-48	yes	712	8800	1070	8800	143.6296029	1.586692038	0.137133113	5.30E-32	6.80E-31	yes	1451	8800	2027	8800
Q99856	ENSG00000116017	11	ARID3A	protein_coding	ensembl_havana	chr19:925781-975939:+	22.61983341	-0.515986211	0.281998735	0.0126939	0.02474907	yes	4250	13434	9105	13434	22.61983341	-0.904529338	0.317975008	0.000468906	0.000910783	yes	2622	13434	8319	13434	22.61983341	-0.851358876	0.321384041	0.000606322	0.001358712	yes	2327	13434	7978	13434	22.61983341	1.259184337	0.355696783	5.33E-05	0.000143051	yes	2422	13434	6443	13434	22.61983341	1.797670477	0.312563625	3.19E-10	1.02E-09	yes	1018	13434	4880	13434
Q16236	ENSG00000116044	16	NFE2L2	protein_coding	ensembl_havana	chr2:177227595-177392697:-	1803.316351	0.796378776	0.045375098	6.27E-70	5.24E-68	yes	1840	982	311	1840	1803.316351	0.158245455	0.046371704	0.000581854	0.002296846	yes	16632	982	8816	16632	1803.316351	-0.087810775	0.046756969	0.058860215	0.243505342	no	19620	982	14372	19620	1803.316351	0.914661816	0.058921964	1.04E-54	7.46E-53	yes	4617	982	974	4617	1803.316351	1.589969158	0.051365774	2.10E-211	1.16E-208	yes	1444	982	150	1444
P54764	ENSG00000116106	12	EPHA4	protein_coding	ensembl_havana	chr2:221418027-221574202:-	83.33730738	0.416785276	0.22996293	0.021194371	0.038454788	yes	5735	10524	9589	10524	83.33730738	1.184645394	0.233731623	2.06E-08	1.20E-07	yes	1339	10524	5554	10524	83.33730738	2.230601918	0.223068597	3.88E-26	7.14E-25	yes	116	10524	1788	10524	83.33730738	4.168252667	0.246592894	1.81E-66	5.08E-65	yes	109	10524	779	10524	83.33730738	4.262989478	0.234001518	2.12E-75	6.51E-74	yes	108	10524	782	10524
O00512	ENSG00000116128	11	BCL9	protein_coding	ensembl_havana	chr1:147541501-147626216:+	352.5496646	-0.702697856	0.081764617	1.02E-18	1.94E-17	yes	2418	5454	1878	5454	352.5496646	-0.494268514	0.08008423	3.22E-10	3.09E-09	yes	7082	5454	4889	7082	352.5496646	0.267229507	0.073836627	0.000237762	0.001217894	yes	11764	5454	7902	11764	352.5496646	1.556752086	0.098107123	5.58E-58	1.95E-56	yes	1393	5454	914	5454	352.5496646	1.817569587	0.087228565	8.59E-98	5.48E-96	yes	976	5454	549	5454
O00391	ENSG00000116260	17	QSOX1	protein_coding	ensembl_havana	chr1:180154869-180204030:+	7962.450161	-0.144636848	0.051338869	0.004213911	0.012960011	yes	14519	113	8449	14519	7962.450161	-0.203040152	0.051744284	7.63E-05	0.00044714	yes	14829	113	7957	14829	7962.450161	-0.343159354	0.051739964	2.33E-11	3.40E-10	yes	9493	113	4077	9493	7962.450161	-1.694737854	0.060121008	2.27E-176	6.84E-174	yes	1096	113	231	1096	7962.450161	-1.862809608	0.058787146	8.49E-222	5.28E-219	yes	906	113	138	906
Q9UJM3	ENSG00000116285	13	ERRFI1	protein_coding	ensembl_havana	chr1:8004404-8026309:-	2006.528457	0.967874229	0.051378232	2.04E-80	2.19E-78	yes	1191	853	239	1191	2006.528457	0.954717217	0.051552144	1.49E-77	1.05E-75	yes	2314	853	491	2314	2006.528457	0.764620252	0.051796156	3.03E-50	2.53E-48	yes	2918	853	713	2918	2006.528457	1.957515573	0.059379182	2.16E-240	9.67E-238	yes	768	853	142	853	2006.528457	2.183407078	0.055960205	0	0	yes	578	853	1	853
Q9BV79	ENSG00000116353	16	MECR	protein_coding	ensembl_havana	chr1:29192657-29230942:-	285.6234517	-0.215074915	0.06236811	0.000412392	0.001470417	yes	11277	6270	6928	11277	285.6234517	-0.046137187	0.062065537	0.448851619	1	no	22696	6270	20364	22696	285.6234517	-0.149590956	0.062753921	0.01596631	0.038691076	yes	16403	6270	10782	16403	285.6234517	-1.577324476	0.172138338	2.37E-21	3.57E-20	yes	1338	6270	2411	6270	285.6234517	-1.42786154	0.142446444	1.75E-24	2.43E-23	yes	1956	6270	2557	6270
Q9BQA1	ENSG00000116455	14	WDR77	protein_coding	ensembl_havana	chr1:111439890-111449256:-	292.5985228	0.709526838	0.073573381	6.35E-23	1.16E-21	yes	2366	6174	1442	6174	292.5985228	1.363878096	0.071382946	9.98E-83	1.03E-80	yes	872	6174	442	6174	292.5985228	1.56002364	0.070770767	3.90E-109	5.12E-107	yes	484	6174	199	6174	292.5985228	-0.225970363	0.157943664	0.143190744	0.320818772	no	17087	6174	14221	17087	292.5985228	-0.677584793	0.160101143	1.53E-05	7.75E-05	yes	8107	6174	7140	8107
Q6ZMZ0	ENSG00000116514	16	RNF19B	protein_coding	ensembl_havana	chr1:32936445-32964685:-	656.8730829	-0.845012691	0.057351196	3.58E-50	1.85E-48	yes	1634	3207	525	3207	656.8730829	-0.571267735	0.055942585	6.58E-25	1.38E-23	yes	5807	3207	2250	5807	656.8730829	-0.070472502	0.052625122	0.177249215	0.526866747	no	20687	3207	17884	20687	656.8730829	1.900440456	0.064139412	6.87E-195	1.12E-192	yes	821	3207	187	3207	656.8730829	1.204616648	0.067101205	1.23E-72	7.75E-71	yes	3013	3207	827	3207
Q14814	ENSG00000116604	18	MEF2D	protein_coding	ensembl_havana	chr1:156463727-156500779:-	770.4130899	-0.240573022	0.056803415	1.55E-05	6.62E-05	yes	10338	2753	5635	10338	770.4130899	-0.637049901	0.06006921	8.36E-27	1.89E-25	yes	4987	2753	2081	4987	770.4130899	-0.072204439	0.056557965	0.197810139	0.519164792	no	20577	2753	17781	20577	770.4130899	1.573922163	0.070570948	1.71E-111	1.36E-109	yes	1348	2753	413	2753	770.4130899	1.951089272	0.062597133	7.20E-215	2.65E-212	yes	783	2753	147	2753
P19623	ENSG00000116649	10	SRM	protein_coding	ensembl_havana	chr1:11054584-11060020:-	851.4265402	0.97649583	0.048074728	5.37E-93	7.54E-91	yes	1158	2481	193	2481	851.4265402	1.805016313	0.04669568	0	0	yes	352	2481	1	2481	851.4265402	1.705682032	0.04680632	2.63E-292	5.20E-289	yes	361	2481	24	2481	851.4265402	-0.016479078	0.096714937	0.863560111	1	no	34159	2481	21743	34159	851.4265402	-0.566474536	0.100141067	1.17E-08	1.03E-07	yes	9828	2481	5600	9828
Q9H246	ENSG00000116667	14	C1orf21	protein_coding	ensembl_havana	chr1:184387029-184629019:+	121.7430416	-0.474887613	0.085704681	7.11E-09	3.39E-08	yes	4785	9342	3769	9342	121.7430416	-1.476055868	0.099015766	9.20E-52	3.85E-50	yes	684	9342	910	9342	121.7430416	-1.234917328	0.095818022	1.30E-39	3.11E-38	yes	960	9342	1034	9342	121.7430416	-1.063550244	0.201265777	3.58E-08	1.33E-07	yes	3425	9342	4810	9342	121.7430416	-0.377675075	0.144649153	0.007900547	0.019881813	yes	13627	9342	10072	13627
P19878	ENSG00000116701	15	NCF2	protein_coding	ensembl_havana	chr1:183555562-183590876:-	74.23310755	0.917796114	0.168393862	2.64E-09	1.29E-08	yes	1368	10807	3617	10807	74.23310755	1.748089054	0.162186134	3.66E-29	5.22E-28	yes	400	10807	1885	10807	74.23310755	2.206997491	0.159243245	3.08E-46	7.48E-45	yes	124	10807	814	10807	74.23310755	1.113766108	0.270137671	8.65E-06	3.17E-05	yes	3098	10807	5984	10807	74.23310755	1.947557182	0.214178577	2.18E-21	1.38E-20	yes	787	10807	2843	10807
P24522	ENSG00000116717	13	GADD45A	protein_coding	ensembl_havana	chr1:67685201-67688334:+	460.464633	1.849424486	0.075057273	1.26E-136	4.26E-134	yes	193	4445	87	4445	460.464633	1.723620931	0.075382948	1.09E-117	2.40E-115	yes	414	4445	232	4445	460.464633	0.734214345	0.078844068	1.78E-21	4.18E-20	yes	3172	4445	2259	4445	460.464633	2.086507662	0.099237717	2.09E-100	1.44E-98	yes	654	4445	481	4445	460.464633	1.473892769	0.101665187	1.64E-48	6.20E-47	yes	1789	4445	1317	4445
Q9BSE5	ENSG00000116771	6	AGMAT	protein_coding	ensembl_havana	chr1:15571699-15585051:-	59.45492726	0.251992997	0.134206139	0.03740847	0.065383072	yes	9951	11305	10302	11305	59.45492726	0.959072655	0.134659035	1.06E-13	7.43E-13	yes	2295	11305	3830	11305	59.45492726	1.568196414	0.129740638	3.72E-35	5.52E-34	yes	474	11305	1202	11305	59.45492726	-0.046540731	0.288525304	0.861345234	0.739490252	no	32071	11305	19818	32071	59.45492726	-1.246032514	0.401357756	0.000343434	0.000764593	yes	2765	11305	7997	11305
Q08257	ENSG00000116791	14	CRYZ	protein_coding	ensembl_havana	chr1:74705482-74733408:-	1584.967153	-0.133793253	0.031748161	2.24E-05	0.000100467	yes	15090	1165	5777	15090	1584.967153	-0.240199613	0.032181922	7.15E-14	5.90E-13	yes	13527	1165	3806	13527	1584.967153	-0.475088948	0.032623619	2.42E-48	1.90E-46	yes	6514	1165	758	6514	1584.967153	-1.472876297	0.070001947	2.13E-99	2.04E-97	yes	1627	1165	485	1627	1584.967153	-1.819014972	0.068224898	5.58E-158	1.14E-155	yes	973	1165	258	1165
Q13105	ENSG00000116809	11	ZBTB17	protein_coding	ensembl_havana	chr1:15941869-15976132:-	463.3203502	0.181852004	0.069101034	0.006764353	0.019852357	yes	12709	4428	8854	12709	463.3203502	0.078614784	0.070977858	0.25749423	0.633412363	no	20552	4428	19126	20552	463.3203502	-0.279484033	0.073871113	0.000122	0.000841595	yes	11379	4428	7710	11379	463.3203502	2.360451469	0.082975966	1.35E-180	4.16E-178	yes	465	4428	221	4428	463.3203502	2.161624194	0.079846151	1.91E-163	3.03E-161	yes	594	4428	239	4428
O00482	ENSG00000116833	14	NR5A2	protein_coding	ensembl_havana	chr1:200027614-200177420:+	214.3916496	-0.350270938	0.104380806	0.000336403	0.00134551	yes	7087	7369	6888	7369	214.3916496	-1.402996561	0.119189945	2.07E-33	5.90E-32	yes	797	7369	1630	7369	214.3916496	-0.662265506	0.108934183	2.54E-10	2.12E-09	yes	3795	7369	4326	7369	214.3916496	1.156179827	0.132651275	6.66E-19	9.13E-18	yes	2871	7369	2649	7369	214.3916496	1.510738677	0.118345442	2.97E-38	6.67E-37	yes	1665	7369	1700	7369
O75037	ENSG00000116852	14	KIF21B	protein_coding	ensembl_havana	chr1:200969390-201023700:-	88.41571505	-1.122863379	0.108147646	6.48E-27	1.24E-25	yes	814	10353	1205	10353	88.41571505	-2.0331618	0.129835094	4.65E-58	2.32E-56	yes	228	10353	777	10353	88.41571505	-2.25819625	0.135876286	1.09E-64	5.56E-63	yes	112	10353	487	10353	88.41571505	-0.722035933	0.213959354	0.000418372	0.001063829	yes	6745	10353	7213	10353	88.41571505	0.531768846	0.136499489	7.60E-05	0.000254713	yes	10443	10353	7565	10443
